"X1","X2","X3","X4","X5"
"Lakeview Retirement Residence, Inc.","0","0","0","0"
"Las Mercedes Boarding Home","0","0","0","0"
"Laurellwood Care Center","0","0","0","0"
"Leisure Living Of Victoria Park","0","0","0","0"
"Lenox On The Lake (The)","0","0","0","0"
"Liana Of Venice","0","0","0","0"
"Life Care Center Of Inverrary","0","0","0","0"
"Life Care Center Of Palm Bay","0","0","0","0"
"Life Care Center Of Port St. Lucie","0","0","0","0"
"Life Care Center Of Sarasota","0","0","0","0"
"Lily's Promise LLC","0","0","0","0"
"Lincoln Manor","0","0","0","0"
"Little River Assisted Living Inc","0","0","0","0"
"Livewell At Coral Plaza","0","0","0","0"
"Livewell At Courtyard Plaza","0","0","0","0"
"Livewell At Grand Court Lakes","0","0","0","0"
"Log Cabin Enterprises, Inc.","0","0","0","0"
"Lourdes-Noreen Mckeen Residence For Geriatric Care, Inc.","0","0","0","0"
"Loving Care Assisted Living LLC","0","0","0","0"
"Mactown, Inc","0","0","0","0"
"Madison Pointe Care Center","0","0","0","0"
"Magnolia Acres","0","0","0","0"
"Magnolia House","0","0","0","0"
"Majestic Memory Care Center","0","0","0","0"
"Majestic Oaks","0","0","0","0"
"Mango Place","0","0","0","0"
"Mangrove Bay","0","0","0","0"
"Manor At Blue Water Bay, The","0","0","0","0"
"Manor Oaks Nursing & Rehabilitation Center","0","0","0","0"
"Manorcare Health Services","0","0","0","0"
"Manorcare Health Services Dunedin","0","0","0","0"
"Manorcare Health Services West Palm Beach","0","0","0","0"
"Marianna Health And Rehabilitation Center","0","0","0","0"
"Marion And Bernard L Samson Nursing Center","0","0","0","0"
"Martin Nursing And Rehabilitation","0","0","0","0"
"Masonic Home Of Florida","0","0","0","0"
"Maud's Place","0","0","0","0"
"Mayflower Assisted Living Facility","0","0","0","0"
"Memory Lane Cottage At Tampa Palms, LLC","0","0","0","0"
"Merrill Gardens At Championsgate","0","0","0","0"
"Mia Casa At North Miami LLC","0","0","0","0"
"Miami Cerebral Palsy Residential Services, Inc.","0","0","0","0"
"Miami Cerebral Palsy Residential Services, Inc.","0","0","0","0"
"Miami Cerebral Palsy Residential Services, Inc.","0","0","0","0"
"Miami-Dade County","0","0","0","0"
"Midtown Manor","0","0","0","0"
"Morselife Memory Care Residence","0","0","0","0"
"Morton Plant Rehabilitation Center","0","0","0","0"
"Naples Green Village","0","0","0","0"
"Neurointernational Sarasota","0","0","0","0"
"New Age Adultcare Inc","0","0","0","0"
"New Hope A.l.f., Inc.","0","0","0","0"
"New Horizons Of Northwest Florida, Inc.","0","0","0","0"
"Noble House Retirement Of Jacksonville, LLC","0","0","0","0"
"North Florida Retirement Village","0","0","0","0"
"North Lake Retirement Home Inc","0","0","0","0"
"North Rehabilitation Center","0","0","0","0"
"Northdale Rehabilitation Center","0","0","0","0"
"Nspire Healthcare Kendall","0","0","0","0"
"Nspire Healthcare Tamarac","0","0","0","0"
"Nursing Center At Freedom Village, The","0","0","0","0"
"Nursing Center At La Posada","0","0","0","0"
"Oak Hammock At The University Of Florida","0","0","0","0"
"Oak Hammock At The University Of Florida Inc","0","0","0","0"
"Oakbridge Terrace Al Residence At St Andrews Estates","0","0","0","0"
"Oakbridge Terrace Assisted Living At Indian River Estates","0","0","0","0"
"Oakbridge Terrace At Azalea Trace","0","0","0","0"
"Oakhurst Center","0","0","0","0"
"Oaks Of Clearwater, The","0","0","0","0"
"Okeechobee Health Care Facility","0","0","0","0"
"Olive Branch Health And Rehabilitation Center","0","0","0","0"
"Omega Group Of South Florida, Inc.","0","0","0","0"
"Orchard Ridge","0","0","0","0"
"Orchid Terrace","0","0","0","0"
"Orlando Health And Rehabilitation Center","0","0","0","0"
"Our Dream ALF","0","0","0","0"
"Pacifica Senior Living Ocala","0","0","0","0"
"Pacifica Senior Living Of Palm Beach","0","0","0","0"
"Pacifica Senior Living Sunrise","0","0","0","0"
"Paddock Ridge","0","0","0","0"
"Palace At Kendall","0","0","0","0"
"Palace At Kendall Nursing And Rehabilitation Center","0","0","0","0"
"Palm Breeze A.L.F.","0","0","0","0"
"Palm City Nursing And Rehab Center","0","0","0","0"
"Palm Garden Of Gainesville","0","0","0","0"
"Palm Garden Of Jacksonville","0","0","0","0"
"Palm Garden Of Largo","0","0","0","0"
"Palm Garden Of Orlando","0","0","0","0"
"Palm Garden Of Port St. Lucie","0","0","0","0"
"Palm Garden Of Sun City","0","0","0","0"
"Palm Garden Of Vero Beach","0","0","0","0"
"Palmetto Landing","0","0","0","0"
"Palm's Edge Assisted Living And Memory Care","0","0","0","0"
"Palms Of Fort Myers","0","0","0","0"
"Palms Of Sebring (The)","0","0","0","0"
"Palms Of Sebring, The","0","0","0","0"
"Park Place Assisted Living Inc","0","0","0","0"
"Parkside Health And Rehabilitation Center","0","0","0","0"
"Parkview Rehabilitation Center At Winter Park","0","0","0","0"
"Pavilion At Bayview (The)","0","0","0","0"
"Pavilion Gardens","0","0","0","0"
"Peninsula (The)","0","0","0","0"
"Pensacola Developmental Center","0","0","0","0"
"Pinellas Point Nursing And Rehab Center","0","0","0","0"
"Pines Of Sarasota","0","0","0","0"
"Plantation Nursing & Rehabilitation Center","0","0","0","0"
"Plaza West","0","0","0","0"
"Pleasant Retirement Home Inc","0","0","0","0"
"Plymouth Harbor Inc","0","0","0","0"
"Poet's Walk Sarasota","0","0","0","0"
"Pondella Residential Care LLC","0","0","0","0"
"Port Orange Nursing And Rehab Center","0","0","0","0"
"Port St. Lucie Rehabilitation And Healthcare","0","0","0","0"
"Prince Adam's Place LLC","0","0","0","0"
"Princeton Village Of Palm Coast","0","0","0","0"
"Queen Elaine Assisted Living Facility LLC","0","0","0","0"
"Regal Palms","0","0","0","0"
"Regency Park","0","0","0","0"
"Regents Park Of Sunrise","0","0","0","0"
"Rehab & Healthcare Center Of Cape Coral","0","0","0","0"
"Rehabilitation And Healthcare Center Of Tampa","0","0","0","0"
"Rehabilitation Center At Park Place","0","0","0","0"
"Rehabilitation Center Of Lake City, The","0","0","0","0"
"Rehabilitation Center Of Winter Park, The","0","0","0","0"
"Renaissance Senior Living","0","0","0","0"
"Residence At Bay Vue","0","0","0","0"
"Residence At Timber Pines (The)","0","0","0","0"
"Riverside Care Center","0","0","0","0"
"Riverwood Center","0","0","0","0"
"Riverwood Health & Rehabilitation Center","0","0","0","0"
"Riviera Health Resort","0","0","0","0"
"Rocky Creek Village","0","0","0","0"
"Royal Palm Beach Health And Rehabilitation Center","0","0","0","0"
"Sabal Palms Health Care Center","0","0","0","0"
"Salerno Bay Health And Rehabilitation Center","0","0","0","0"
"Salmos 23 #4 LLC","0","0","0","0"
"Samantha Wilson Care Center","0","0","0","0"
"San Jose Health And Rehabilitation Center","0","0","0","0"
"Sandia","0","0","0","0"
"Sarasota Health And Rehabilitation Center","0","0","0","0"
"Sarasota Memorial Nursing And Rehabilitation Center","0","0","0","0"
"Savannah Court Of Bartow","0","0","0","0"
"Savannah Court Of Lake Wales","0","0","0","0"
"Scott Lake Health And Rehabilitation Center","0","0","0","0"
"Seasons Largo","0","0","0","0"
"Seaview Nursing And Rehabilitation Center","0","0","0","0"
"Senior Point Assisted Living Facility LLC","0","0","0","0"
"Serenades By Sonata","0","0","0","0"
"Serenades In The Villages","0","0","0","0"
"Shady Palms Retirement Homes, Inc","0","0","0","0"
"Shell Point Nursing Pavilion","0","0","0","0"
"Sheridan At Hobe Sound, The","0","0","0","0"
"Signature Healthcare At College Park","0","0","0","0"
"Signature Healthcare At The Courtyard","0","0","0","0"
"Signature Healthcare Of Gainesville","0","0","0","0"
"Signature Healthcare Of Port Charlotte","0","0","0","0"
"Silver Creek, St Augustine LLC","0","0","0","0"
"Sim Lodge","0","0","0","0"
"Solaris Healthcare Bayonet Point","0","0","0","0"
"Solaris Healthcare Coconut Creek","0","0","0","0"
"Solaris Healthcare Imperial","0","0","0","0"
"Solaris Healthcare Lake City","0","0","0","0"
"Solaris Healthcare Osceola","0","0","0","0"
"Solaris Healthcare Parkway","0","0","0","0"
"Solaris Senior Living North Naples","0","0","0","0"
"Solaris Senior Living Vero Beach","0","0","0","0"
"Sonata Boca Raton","0","0","0","0"
"Sonata Coconut Creek","0","0","0","0"
"Sonata Delray Beach","0","0","0","0"
"Sonata Hunter's Creek","0","0","0","0"
"Sonata Vero Beach","0","0","0","0"
"Sonata Viera","0","0","0","0"
"South Campus Care Center","0","0","0","0"
"South Florida Home Services Inc.","0","0","0","0"
"South Heritage Health & Rehabilitation Center","0","0","0","0"
"Specialty Health And Rehabilitation Center","0","0","0","0"
"Springs At Shell Point Retirement Community, The","0","0","0","0"
"Springtree Rehabilitation & Health Care Center","0","0","0","0"
"St Annes Nursing Center, St Annes Residence Inc","0","0","0","0"
"St Anne's Residence","0","0","0","0"
"St Augustine Health And Rehabilitation Center","0","0","0","0"
"St Catherine Laboure Manor Inc","0","0","0","0"
"St Joseph Residence, Inc.","0","0","0","0"
"St Mark Village Inc","0","0","0","0"
"Starling At Nocatee","0","0","0","0"
"Stuart Lodge","0","0","0","0"
"Summer Vista Assisted Living Community","0","0","0","0"
"Sumter Place In The Villages","0","0","0","0"
"Sun City Senior Living","0","0","0","0"
"Sun Coast Residential Care, Inc.","0","0","0","0"
"Sun Coast Retreat","0","0","0","0"
"Sun Terrace Health Care Center","0","0","0","0"
"Sun Towers Retirement Community","0","0","0","0"
"Sun Village Homes Inc","0","0","0","0"
"Sunflower Springs LLC","0","0","0","0"
"Sunland Center Marianna-Fac I","0","0","0","0"
"Sunland Center Marianna-Facility III","0","0","0","0"
"Sunland Marianna Facility V","0","0","0","0"
"Sunny Hills Of Sebring","0","0","0","0"
"Sunnyside Nursing Home","0","0","0","0"
"Sunrise Community, Inc.","0","0","0","0"
"Sunrise Health And Rehabilitation Center","0","0","0","0"
"Sunset Harbor Assisted Living","0","0","0","0"
"Sunset Point","0","0","0","0"
"Sunshine Adult Center #2","0","0","0","0"
"Sunshine Adult Center Corp.","0","0","0","0"
"Superior Residences Of Clermont","0","0","0","0"
"Sylvan Health Center","0","0","0","0"
"Sylvan Terrace","0","0","0","0"
"Symphony At Delray Beach","0","0","0","0"
"Tacachale - Facility IV","0","0","0","0"
"Tangerine Cove Of Brooksville","0","0","0","0"
"Tarpon Bayou Center","0","0","0","0"
